Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 18:43:00 CEST 2021
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[0] 	 RMSE: 0.4964 	 NLL: 12.4187 	 train_loss: 19017.7266 	 t: 12.15 sec
[4900] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8782.7461 	 t: 39.49 sec
[5000] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8933.1504 	 t: 39.85 sec
[5100] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8839.1445 	 t: 39.58 sec
[5200] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8813.3643 	 t: 39.78 sec
[5300] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8653.7754 	 t: 37.08 sec
[5400] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8727.0059 	 t: 25.42 sec
[5500] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8648.2295 	 t: 25.63 sec
[5600] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8341.5225 	 t: 25.45 sec
[5700] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8530.5400 	 t: 25.62 sec
[5800] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8631.2852 	 t: 25.47 sec
[5900] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8087.8945 	 t: 25.38 sec
[6000] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8593.2061 	 t: 25.34 sec
[6100] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8497.5215 	 t: 25.44 sec
[6200] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8239.2695 	 t: 25.34 sec
[6300] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8327.9355 	 t: 25.63 sec
[6400] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8521.2949 	 t: 25.46 sec
[6500] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8656.2129 	 t: 25.32 sec
[6600] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8709.5410 	 t: 25.31 sec
[6700] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8423.1426 	 t: 25.40 sec
[6800] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8531.8125 	 t: 25.32 sec
[6900] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8532.1387 	 t: 25.32 sec
[7000] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8249.2441 	 t: 25.31 sec
[7100] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 7981.1045 	 t: 25.39 sec
[7200] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8473.5645 	 t: 25.27 sec
[7300] 	 RMSE: 0.1225 	 NLL: -0.5980 	 train_loss: 8337.8594 	 t: 25.32 sec
[7400] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7972.6196 	 t: 25.76 sec
[7500] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8217.8164 	 t: 25.41 sec
[7600] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8064.3906 	 t: 25.30 sec
[7700] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8360.3311 	 t: 25.39 sec
[7800] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8250.4688 	 t: 25.31 sec
[7900] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8002.3926 	 t: 25.40 sec
[8000] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8287.4707 	 t: 25.35 sec
[8100] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8169.2510 	 t: 25.37 sec
[8200] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8137.9629 	 t: 25.37 sec
[8300] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8012.9111 	 t: 25.32 sec
[8400] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8255.5557 	 t: 25.39 sec
[8500] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8184.7383 	 t: 25.27 sec
[8600] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8173.5244 	 t: 25.26 sec
[8700] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7564.8076 	 t: 25.36 sec
[8800] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7909.1938 	 t: 25.26 sec
[8900] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8525.7344 	 t: 25.26 sec
[9000] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8041.4102 	 t: 25.30 sec
[9100] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8180.5303 	 t: 25.29 sec
[9200] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8288.9609 	 t: 25.31 sec
[9300] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7783.0913 	 t: 25.31 sec
[9400] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7932.7837 	 t: 25.31 sec
[9500] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8259.9766 	 t: 25.26 sec
[9600] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8381.7188 	 t: 25.34 sec
[9700] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8264.2637 	 t: 25.24 sec
[9800] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8147.6875 	 t: 25.20 sec
[9900] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8282.0156 	 t: 25.31 sec
[10000] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8061.5771 	 t: 25.23 sec
[10100] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8069.7119 	 t: 25.24 sec
[10200] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7726.3071 	 t: 25.33 sec
[10300] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8100.3291 	 t: 25.33 sec
[10400] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7909.3926 	 t: 25.29 sec
[10500] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 8409.1318 	 t: 25.41 sec
[10600] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7998.6255 	 t: 25.40 sec
[10700] 	 RMSE: 0.1028 	 NLL: -0.8475 	 train_loss: 7963.7627 	 t: 25.24 sec
[10800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8019.6348 	 t: 25.72 sec
[10900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7961.0820 	 t: 25.32 sec
[11000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7996.4355 	 t: 25.20 sec
[11100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7817.0762 	 t: 25.30 sec
[11200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7948.4312 	 t: 25.25 sec
[11300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8285.2598 	 t: 25.22 sec
[11400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8074.2031 	 t: 25.30 sec
[11500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8019.0605 	 t: 25.22 sec
[11600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7815.3184 	 t: 25.26 sec
[11700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8123.5996 	 t: 25.28 sec
[11800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7989.4229 	 t: 25.25 sec
[11900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7891.4834 	 t: 25.26 sec
[12000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8426.6680 	 t: 25.28 sec
[12100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7702.2290 	 t: 25.36 sec
[12200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8249.8418 	 t: 25.32 sec
[12300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7911.5737 	 t: 25.32 sec
[12400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7963.9468 	 t: 25.29 sec
[12500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8082.6533 	 t: 25.25 sec
[12600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7939.6807 	 t: 25.32 sec
[12700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7812.6392 	 t: 25.28 sec
[12800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7804.1152 	 t: 25.32 sec
[12900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8577.1816 	 t: 25.26 sec
[13000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8113.2739 	 t: 25.31 sec
[13100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7870.2568 	 t: 25.26 sec
[13200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8305.0352 	 t: 25.29 sec
[13300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7838.4839 	 t: 25.24 sec
[13400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8249.9238 	 t: 25.30 sec
[13500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8001.3188 	 t: 25.41 sec
[13600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7902.7119 	 t: 25.38 sec
[13700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8198.2188 	 t: 25.25 sec
[13800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8170.3477 	 t: 25.23 sec
[13900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8010.1816 	 t: 25.29 sec
[14000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7850.5337 	 t: 25.23 sec
[14100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8324.7402 	 t: 25.28 sec
[14200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8271.9717 	 t: 25.35 sec
[14300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8211.7236 	 t: 25.29 sec
[14400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8184.0957 	 t: 25.32 sec
[14500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8208.4424 	 t: 25.21 sec
[14600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8191.0454 	 t: 25.30 sec
[14700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8016.3774 	 t: 25.22 sec
[14800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7685.6831 	 t: 25.37 sec
[14900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8288.8740 	 t: 25.29 sec
[15000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8204.3281 	 t: 25.31 sec
[15100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8311.6504 	 t: 25.33 sec
[15200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7969.5059 	 t: 25.29 sec
[15300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8302.8066 	 t: 25.24 sec
[15400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7900.3906 	 t: 25.31 sec
[15500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8009.2832 	 t: 25.30 sec
[15600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8352.5391 	 t: 25.34 sec
[15700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7707.3770 	 t: 25.73 sec
[15800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7987.3823 	 t: 36.40 sec
[15900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8593.3740 	 t: 36.69 sec
[16000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7680.3481 	 t: 36.54 sec
[16100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8204.8252 	 t: 36.59 sec
[16200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8360.4619 	 t: 36.54 sec
[16300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7731.3398 	 t: 36.58 sec
[16400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8134.7461 	 t: 36.71 sec
[16500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8036.8540 	 t: 36.68 sec
[16600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8078.7793 	 t: 36.61 sec
[16700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8212.3447 	 t: 36.65 sec
[16800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8012.5098 	 t: 36.71 sec
[16900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8230.1816 	 t: 36.63 sec
[17000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8484.2656 	 t: 36.66 sec
[17100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8290.5039 	 t: 36.71 sec
[17200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8044.6084 	 t: 36.67 sec
[17300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8547.7715 	 t: 36.56 sec
[17400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8112.0269 	 t: 36.56 sec
[17500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8269.4678 	 t: 36.61 sec
[17600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8560.7686 	 t: 36.56 sec
[17700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8040.3779 	 t: 36.66 sec
[17800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8088.6992 	 t: 36.63 sec
[17900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8436.3320 	 t: 36.70 sec
[18000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7788.5869 	 t: 36.67 sec
[18100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8382.4600 	 t: 36.71 sec
[18200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8537.7002 	 t: 36.76 sec
[18300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7838.6641 	 t: 36.58 sec
[18400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8238.4326 	 t: 36.79 sec
[18500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8099.5327 	 t: 36.68 sec
[18600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8073.1626 	 t: 36.68 sec
[18700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8492.5820 	 t: 36.67 sec
[18800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8096.9521 	 t: 36.73 sec
[18900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8113.5454 	 t: 36.44 sec
[19000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8518.7188 	 t: 36.54 sec
[19100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8041.3677 	 t: 36.56 sec
[19200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8576.7930 	 t: 36.65 sec
[19300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8408.8262 	 t: 36.36 sec
[19400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8062.7607 	 t: 36.71 sec
[19500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8018.4756 	 t: 36.69 sec
[19600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8344.6426 	 t: 36.61 sec
[19700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8341.9609 	 t: 36.64 sec
[19800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8159.4463 	 t: 36.50 sec
[19900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8164.5986 	 t: 36.66 sec
[20000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7735.5610 	 t: 36.59 sec
[20100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8261.6865 	 t: 36.70 sec
[20200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8415.1924 	 t: 36.57 sec
[20300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8602.6113 	 t: 36.76 sec
[20400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8270.6768 	 t: 36.61 sec
[20500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8559.5166 	 t: 36.41 sec
[20600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8366.9258 	 t: 36.49 sec
[20700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8279.6064 	 t: 36.61 sec
[20800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8075.5283 	 t: 36.65 sec
[20900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8464.1094 	 t: 36.50 sec
[21000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8060.3618 	 t: 36.77 sec
[21100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8046.0581 	 t: 36.77 sec
[21200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8399.7080 	 t: 36.57 sec
[21300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8270.0723 	 t: 36.71 sec
[21400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8413.8193 	 t: 36.70 sec
[21500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8228.2344 	 t: 36.50 sec
[21600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8199.3203 	 t: 36.71 sec
[21700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8406.5127 	 t: 36.62 sec
[21800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8398.3711 	 t: 36.69 sec
[21900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8342.8730 	 t: 36.46 sec
[22000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8752.1611 	 t: 36.55 sec
[22100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7990.5400 	 t: 36.70 sec
[22200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8408.7754 	 t: 36.75 sec
[22300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8185.4307 	 t: 36.47 sec
[22400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7940.7349 	 t: 36.58 sec
[22500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8296.1201 	 t: 36.55 sec
[22600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8380.8301 	 t: 36.37 sec
[22700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8482.3340 	 t: 36.47 sec
[22800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8280.5527 	 t: 36.54 sec
[22900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8418.9023 	 t: 36.52 sec
[23000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8846.7461 	 t: 36.43 sec
[23100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8834.9180 	 t: 36.74 sec
[23200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8423.9395 	 t: 36.86 sec
[23300] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8429.0684 	 t: 36.73 sec
[23400] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8264.1406 	 t: 36.60 sec
[23500] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 7963.8472 	 t: 36.51 sec
[23600] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8210.2090 	 t: 36.63 sec
[23700] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8787.6465 	 t: 36.66 sec
[23800] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8058.1196 	 t: 36.55 sec
[23900] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8265.5371 	 t: 36.59 sec
[24000] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8827.9014 	 t: 36.71 sec
[24100] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8511.6523 	 t: 36.70 sec
[24200] 	 RMSE: 0.0914 	 NLL: -0.9726 	 train_loss: 8451.4980 	 t: 36.65 sec
